Number	Country	FertilityRate	IQ	Pop_1950	Pop_2000	Pop_2050
127	NorthKorea	2.1	106	9471140	21647682	26363688
128	NorthernMarianaIsl	1.24	81	6286	69706	143132
129	Norway	1.78	100	3265126	4492400	4966385
130	Oman	5.77	83	488588	2533389	8237623
131	Pakistan	4	84	39448232	146342958	294995104
132	Panama	2.68	84	892502	2889485	5038122
133	PapuaNewGuinea	3.88	83	1412466	4926984	10670394
134	Paraguay	3.89	84	1475669	5585828	14635743
135	Peru	2.51	85	7632500	25979722	38300067
136	Philippines	3.11	86	21131264	79739825	147630852
137	Poland	1.25	99	24824000	38654164	32084570
138	Portugal	1.47	95	8442750	10335597	9933334
139	PuertoRico	1.75	84	2218000	3815909	3770496
140	Qatar	2.81	78	25101	744483	1239216
141	Romania	1.37	94	16311000	22451921	18678226
142	Russia	1.28	97	101936816	146709971	109187353
143	Rwanda	5.43	70	2439435	8278209	25089909
144	Samoa	2.94	88	81858	179466	170739
145	SaoTome&Principe	5.62	67	59730	159883	502489
146	SaudiArabia	4	84	3859801	23153090	49706851
147	Senegal	4.38	66	2653637	10332013	27519852
148	Serbia	1.78	89	6710261	10117908	9274767
149	Seychelles	1.74	86	32903	79326	89713
150	SierraLeone	6.08	64	2087055	4808817	13998936
151	Singapore	1.06	108	1022100	4036753	4635110
152	Slovakia	1.33	96	3463446	5400320	4943616
153	Slovenia	1.25	96	1467759	2010057	1596947
154	SolomonIslands	3.91	84	106647	466194	1110514
155	Somalia	6.76	68	2437932	7253137	25128735
156	SouthAfrica	2.2	72	13595840	44066197	33002952
157	SouthKorea	1.27	106	20845771	47351083	45224224
158	Spain	1.28	98	28062963	40016081	35564293
159	SriLanka	1.84	79	7533097	19435869	24920558
160	StKitts&Nevis	2.31	67	44341	38819	52348
161	StLucia	2.18	62	79050	156260	235420
162	StVincent	1.83	71	66452	115461	92335
163	Sudan	4.72	71	8051151	35079814	84192309
164	Suriname	2.32	89	208068	432485	617249
165	Swaziland	3.53	68	277384	1109750	720603
166	Sweden	1.66	99	7014005	8923569	9084788
167	Switzerland	1.43	101	4694000	7266920	7296092
168	Syria	3.4	83	3495000	16305659	34437235
169	Taiwan	1.57	105	7981454	22151237	23203650
170	Tajikistan	4	87	1530047	6229697	12132365
171	Tanzania	4.97	72	7934924	33065142	71949135
172	Thailand	1.64	91	20041628	61862928	69268817
173	TimorLeste	3.53	87	435529	846599	1942734
174	Togo	4.96	70	1171897	4711655	14714623
