dia,mes,ano,diasem,dem,temp,dem1,dem2,dem3,dem4,dem5,dem6,dem7,dem8,dem9,dem10,dem11,dem12,dem13,dem14,dem15,dem16,dem17,dem18,dem19,dem20,dem21,dem22,dem23,dem24
5,2,2024,2,679,17.84,23188,21733,20814,20537,20672,21512,25013,29900,32317,32436,31687,30728,29933,29699,29398,29137,29398,30325,31713,33649,34393,33619,30323,27259
6,2,2024,3,693,17.78,25276,23655,22609,22240,22190,22998,25933,30250,32392,32648,32189,31417,30613,30161,29640,29261,29248,29802,31116,33588,34505,33585,30374,27123
7,2,2024,4,702,18.37,25224,23677,22735,22490,22460,23185,26092,30694,32559,32683,32048,31429,30849,30875,30561,30253,30201,30628,31890,34077,35040,33855,30737,27507
8,2,2024,5,709,17.69,25566,24057,23097,22769,22693,23446,26220,30476,32231,32241,31956,31657,31467,31730,31703,31472,31398,31751,32693,34219,34853,33642,30648,27487
9,2,2024,6,708,17.01,25536,24098,23255,22769,22745,23260,25837,30197,31990,32751,33104,33026,33132,33182,32523,31577,31006,31074,31807,33130,33338,32277,29650,27038
10,2,2024,7,615,14.96,25568,23893,22690,21939,21550,21451,22040,23389,24639,26471,27266,27194,27073,27453,26801,25822,25231,25594,27024,29092,29890,29606,27600,25612
11,2,2024,1,593,13.97,23784,22110,20850,20341,20038,20121,20500,21159,21879,23704,25380,26186,26308,26934,26863,25676,25194,25440,26904,29056,30105,30110,28256,25706
12,2,2024,2,669,19.08,23702,22188,21280,20952,21049,21877,24945,29172,31062,31792,31449,30468,29912,29766,29084,28340,28129,28770,30149,32603,33492,32682,29647,26683
13,2,2024,3,669,20.9,24844,23307,22322,21960,21974,22729,25478,29455,30783,30925,30399,29633,28977,28944,28652,28042,28001,28786,30060,32315,33320,32434,29372,26609
14,2,2024,4,674,20.86,24889,23384,22436,22063,21975,22625,25640,29619,30877,31055,30474,29860,29423,29128,29056,28987,28930,29505,30359,32191,33044,32124,29540,26545
15,2,2024,5,685,19.88,24772,23374,22417,22025,21974,22600,25617,29625,31047,31279,30919,30463,29881,30201,30479,30506,30460,30566,31048,32999,33771,32551,29525,26657
16,2,2024,6,672,17.48,25199,23696,22701,22261,22160,23002,25707,29570,31055,31032,30582,30155,29591,29697,29272,28705,28314,28702,29575,31697,32207,31292,28627,27038
17,2,2024,7,577,18.42,24872,23325,22166,21477,21079,20838,21416,22803,24045,25473,25565,24923,24428,24172,23855,23117,22830,23381,24902,27006,27784,27662,25896,23937
18,2,2024,1,544,19.15,22442,21029,19968,19443,19171,19340,19789,20584,21084,22219,22968,22832,22550,22661,22628,21997,21992,22385,24238,27008,28485,28364,26523,24316
19,2,2024,2,642,18.74,22375,21125,20363,19989,19924,20836,24214,28583,30355,30088,29193,28112,27870,27789,27324,27028,27212,27935,29156,31924,32982,32213,29094,25949
20,2,2024,3,656,20.25,24314,22858,22040,21717,21849,22607,25524,29662,31010,30206,29404,28256,27791,27547,27131,26893,27256,28140,29355,31875,33075,32044,29033,26149
21,2,2024,4,673,19.87,24534,23296,22441,22059,22028,22777,25676,29768,31024,30801,29458,28929,28780,28938,28819,28545,28759,29547,30668,33016,33788,32906,29734,26674
22,2,2024,5,677,20.23,24855,23532,22513,22153,22129,22778,25629,29607,30753,30547,29504,29282,29474,29872,30089,29843,29490,29697,30545,32663,33491,32288,29327,26486
